"Location Name","Address","Phone Number"
"Absecon Police Department","500 Mill Road Absecon, NJ 08201","(609) 641-0667"
"Atlantic County Office of the Sheriff","4997 Unami Boulevard Criminal Court Complex Mays Landing, NJ 08330","(609) 641-0111"
"Atlantic County Sheriff's Office (Buena Vista Township)","890 Harding Highway Buena Vista Township, NJ 083100","(856) 697-3859"
"Atlantic City Police Department","2715 Atlantic Avenue Atlantic City, NJ 08401","(609) 347-5780" 
"Brigantine Police Department​","1417 W Brigantine Avenue Brigantine, NJ 08203","(​​609) 266-7414​"
"​Buena Borough City Hall (Franklin T​ownship Police Department)","616 Central Avenue Minotola, NJ 08341","(856) 694-1415"
"Buena Vista Township","Town Hall 890 Harding Highway Buena, NJ 08310","(609) 561-5650"
"Egg Harbor City Police Department","500 London Avenue Egg Harbor City, NJ 08215","(609) 965-2901"
"Egg Harbor Township Police Department","3515 Bargaintown Road Egg Harbor Township, NJ 08234","(609) 927-5200"
"Galloway Township Police Department","300 E. Jimmie Leeds Road Galloway Township, NJ 08205","(609) 652-1034"
"Hammonton Police Department","100 Central Avenue, #1 Hammonton, NJ 08037","(609) 567-4300"
"Linwood Police Department","400 W. Poplar Avenue Linwood, NJ 08221","(609) 927-5252"
"Longport Police Department","2305 Atlantic Avenue Longport, NJ 08403","(609) 822-2141"
"Margate City Police Department","111 North Decatur Avenue Margate City, NJ 08402","(609) 822-1151"
"Mullica Township Police Department","4528 White Horse Pike Elwood, NJ 08217","(609) 561-7600"
"Northfield Police Department","1600 Shore Road Norhfield, NJ 08225","(609) 641-2832"
"Pleasantville Police Department","17 North 1st Street Pleasantville, NJ 08232","(609) 641-6100"
"Somers Point Police Department","1 West New Jersey Avenue, #2 Somers Point, NJ 08244","(609) 927-6161"
"Ventnor City Police Department","6501 Atlantic Avenue Ventnor, NJ 08406","(609) 822-2101"
"Allendale Police Department","290 Franklin Turnpike Allendale, NJ 07401","(201) 825-1900"
"Bergenfield Police Department","198 North Washington Avenue Bergenfield, NJ 07621","(201) 387-4000"
"Bogota Police Department","375 Larch Avenue Bogota, NJ 07603","(201) 487-2400"
"Carlstadt Police Department","500 Madison Street Carlstadt, NJ 07072","(201) 438-4300"
"Cliffside Park Police Department","525 Palisade Avenue Cliffside Park, NJ 07010","(201) 945-3600"
"Dumont Police Department","50 Washington Avenue Dumont, NJ 07628","(201) 387-5000"
"Edgewater Police Department","55 River Road Edgewater, NJ 07020","(201) 943-2200"
"Elmwood Park Police Department","182 Market Street Elmwood Park, NJ 07407","(201) 796-0700"
"Englewood Police Department","75 South Van Brunt Street Englewood, NJ 07631","(201) 871-6400"
"Englewood Cliffs Police Department","10 Kahn Terrace Englewood Cliffs, NJ 07632","(201) 569-8300"
"Fair Lawn Police Department","8-01 Fair Lawn Avenue Fair Lawn, NJ 07410","(201) 796-1400"
"Fort Lee Police Department","1327 16th Street Fort Lee, NJ 07024","(201) 592-3700"
"Franklin Lakes Police Department","490 Dekorte Drive Franklin Lakes, NJ 07417","(201) 891-3131"
"Garfield Police Department","411 Midland Avenue Garfield, NJ 07026","(973) 478-8500"
"Garfield Police Department (Secondary Box)","160 Belmont Avenue Garfield, NJ 07026","(973) 478-8500"
"Hackensack Police Department","225 State Street Hackensack, NJ 07601","(201) 646-7777"
"Hasbrouck Heights Police Department","248 Hamilton Avenue Hasbrouck Heights, NJ 07604","(201) 288-4002"
"Hillsdale Police Department","308 Hillsdale Avenue Hillsdale, NJ 07642","(201) 664-4200"
"Ho-Ho-Kus Police Department","55 Sycamore Avenue Ho-Ho-Kus, NJ 07663","(201) 652-1700"
"Little Ferry Police Department","217 Liberty Street Little Ferry, NJ 07643","(201) 641-2770"
"Leonia Police Department","1 Wood Park Leonia, NJ 07605","(201) 944-0800"
"Lodi Police Department","1 Memorial Drive Lodi, NJ 07644","(973) 473-7600"
"Lyndhurst Police Department","367 Valley Brook Avenue Lyndhurst, NJ 07071","(201) 939-4509"
"Mahwah Police Department","221 Franklin Turnpike Mahwah, NJ 07430","(201) 529-1000"
"Maywood Police Department","15 Park Avenue Maywood, NJ 07607","(201) 845-8800"
"Montvale Police Department","12 Mercedes Drive Montvale, NJ 07645","(201) 391-4600"
"New Milford Police Department","930 River Road New Milford, NJ 07646","(201) 261-1400"
"Oakland Police Department","295 Ramapo Valley Road Oakland, NJ 07436","(201) 337-6171"
"Oradell Police Department","355 Kinderkamack Road Oradell, NJ 07649","(201) 261-0200"
"Palisades Park Police Department","275 Broad Avenue Palisades Park, NJ 07650","(201) 944-0900"
"Paramus Police Department","1 Carlough Drive Paramus, NJ 07652","(201) 262-3400"
"Park Ridge Police Department","33 Park Avenue Park Ridge, NJ 07656","(201) 391-5400"
"Ramsey Police Department","25 North Central Avenue Ramsey, NJ 07446","(201) 327-2400"
